key,count,score,avg_time,percent_vs_half
actor_233,397,0.5,11.16504785894206,100.0
actor_11,397,0.5,12.70544836272039,100.0
actor_156,447,0.5,11.899208053691266,100.0
actor_53,599,0.5,12.180180300500831,100.0
actor_101,6,0.5,11.511833333333334,100.0
actor_52,432,0.5,12.257902777777774,100.0
actor_135,294,0.4966031476955841,13.0811462585034,99.32062953911682
actor_13,305,0.4887425880741007,14.382843853820589,97.74851761482014
actor_102,2,0.4880435069249037,13.686999999999998,97.60870138498075
actor_28,414,0.48792270531400966,11.636457920792074,97.58454106280193
actor_170,309,0.4809098722433362,15.736226537216837,96.18197444866723
actor_122,385,0.47970410504764927,15.096392207792176,95.94082100952986
actor_133,365,0.4728896366483272,15.156199999999995,94.57792732966544
actor_160,275,0.47270256948248246,15.128585454545451,94.54051389649649
actor_4,585,0.47158896511384063,16.009304498269884,94.31779302276813
actor_68,286,0.471007114150984,16.02123426573426,94.2014228301968
actor_121,375,0.45884110170866443,16.144448,91.76822034173289
actor_110,434,0.4583144345073919,17.29721064814814,91.66288690147837
actor_130,163,0.4558207828781176,18.230613496932524,91.16415657562352
actor_26,369,0.4485561631493982,17.371220963172803,89.71123262987965
actor_161,319,0.44718433257132256,17.91253605015673,89.43686651426451
actor_166,279,0.4397905587978501,17.26340143369177,87.95811175957002
actor_171,900,0.4378598238078974,17.561741111111115,87.57196476157948
actor_123,751,0.43407568764834487,17.9962263648469,86.81513752966897
actor_20,453,0.4326710816777042,10.941334183673478,86.53421633554083
actor_297,755,0.43163493578724305,19.674585430463576,86.32698715744861
actor_238,776,0.4298800674018642,18.227409793814424,85.97601348037284
actor_83,264,0.4264363169508984,23.71063878326995,85.28726339017967
actor_40,363,0.4256198347107438,10.344288025889963,85.12396694214877
actor_57,593,0.42075898837710546,13.21613399999999,84.1517976754211
actor_27,529,0.41863555550080217,12.3612,83.72711110016043
actor_150,357,0.41743510311379867,19.220146067415726,83.48702062275973
actor_69,353,0.41711308839210187,21.59149291784702,83.42261767842038
actor_115,503,0.41584206706234,15.08540044742728,83.168413412468
actor_44,900,0.40864453316670835,16.237663225806454,81.72890663334167
actor_64,900,0.4071772181727248,15.055871794871807,81.43544363454495
actor_201,460,0.400938170214536,22.010654028435987,80.18763404290719
actor_155,419,0.4008458920626389,16.75767473118282,80.16917841252777
actor_158,900,0.3921033284987683,22.61181111111114,78.42066569975366
actor_194,900,0.3852798108941248,21.454586666666682,77.05596217882496
actor_213,365,0.3808081979514643,18.06596814091417,76.16163959029286
actor_202,327,0.3765209293895089,15.820411111111126,75.30418587790177
actor_23,537,0.3707443746325918,13.267313283208027,74.14887492651836
actor_70,344,0.3512564412412343,28.58440372670805,70.25128824824685
actor_31,654,0.35030741289983974,12.73417353579174,70.06148257996794
actor_55,363,0.3440838952969269,18.86571223021582,68.81677905938538
actor_142,327,0.339632994773376,27.070209790209756,67.9265989546752
actor_54,442,0.3357409358494051,13.550940397350999,67.14818716988103
actor_92,457,0.3356382914479393,15.13071428571428,67.12765828958786
actor_162,271,0.33415061214351216,23.28620524017471,66.83012242870244
actor_94,498,0.3313253012048193,9.529090909090899,66.26506024096386
actor_96,773,0.3259480922758795,17.468399253731317,65.1896184551759
actor_114,625,0.3243924044967599,18.850701098901126,64.87848089935197
actor_10,572,0.31952980934457187,14.360894878706214,63.905961868914375
actor_77,653,0.31929555895865236,11.803952038369312,63.85911179173047
actor_251,307,0.31918518146976543,23.91490079365077,63.83703629395308
actor_50,427,0.31571259073200736,33.370868735083484,63.14251814640147
actor_287,597,0.3107039438805439,27.28682868525905,62.14078877610878
actor_273,900,0.3097822215745756,26.688096560846546,61.95644431491512
actor_39,493,0.30903994109385724,12.45430392156863,61.80798821877145
actor_136,443,0.30822447534860226,17.512249999999984,61.64489506972045
actor_9,463,0.3075578947265628,16.53219801980201,61.511578945312564
actor_182,640,0.30609357972455276,25.49571559633029,61.21871594491055
actor_74,215,0.30573332068991166,25.16492814371258,61.146664137982334
actor_93,490,0.30306122448979594,9.316272727272738,60.61224489795919
actor_128,588,0.3020833333333333,11.49382303370786,60.416666666666664
actor_220,811,0.29988873888904305,16.949109259259252,59.97774777780861
actor_108,770,0.29924063188159855,11.616832971800433,59.84812637631971
actor_299,591,0.2978503765059015,22.131847494553384,59.5700753011803
actor_131,467,0.2973249657999922,26.854692722372018,59.464993159998436
actor_7,807,0.29615861214374223,12.05176778242678,59.23172242874845
actor_47,723,0.2949562363831645,12.67879672897194,58.9912472766329
actor_91,829,0.294795930708546,20.469235294117663,58.959186141709196
actor_38,707,0.2935139333679523,20.063764462809925,58.70278667359046
actor_35,877,0.2928173255347574,14.391821969696977,58.56346510695148
actor_60,290,0.2918255324973497,31.34614827586203,58.365106499469945
actor_97,660,0.29020424364155334,13.91120454545454,58.04084872831067
actor_249,523,0.28958084002767914,34.034651020408106,57.91616800553583
actor_199,395,0.2895286042469434,26.338403225806456,57.90572084938867
actor_189,540,0.28653047243222973,16.898046109510084,57.30609448644594
actor_134,450,0.28631204746105654,22.63283076923077,57.262409492211304
actor_32,417,0.2855096119865078,26.209301694915265,57.101922397301564
actor_65,759,0.2853741506632101,12.068274193548378,57.07483013264202
actor_178,524,0.2841760085803915,16.1151455108359,56.8352017160783
actor_84,471,0.28287760314655475,110.74004108354609,56.57552062931095
actor_1,702,0.2809646093787232,18.813616470588222,56.19292187574464
actor_152,582,0.27965887520392446,17.81549137931036,55.93177504078489
actor_159,650,0.27615384615384614,11.530852367688027,55.230769230769226
actor_127,864,0.2759606736705424,19.932779174147218,55.19213473410848
actor_151,515,0.2753747900256404,21.02843714285716,55.07495800512808
actor_8,690,0.27447848705982103,14.681491002570676,54.89569741196421
actor_25,717,0.27404204179524194,11.193500000000007,54.808408359048386
actor_80,330,0.27354448515196045,32.87975767918086,54.70889703039209
actor_175,739,0.2732051405769693,23.797329457364324,54.641028115393866
actor_163,582,0.27164075281230754,22.33891228070174,54.32815056246151
actor_113,688,0.2715927421117436,21.02468466522682,54.31854842234872
actor_19,721,0.26663759598990705,17.587529411764717,53.32751919798141
actor_164,435,0.264313173260476,33.585155425219966,52.862634652095196
actor_144,383,0.263062228555264,35.756372168284784,52.6124457110528
actor_5,612,0.26287846566947864,10.735403726708078,52.575693133895726
actor_88,675,0.26136308905133054,12.89799154929576,52.27261781026611
actor_43,417,0.2610949465722408,25.19278214285713,52.21898931444816
actor_17,736,0.26100543764579565,20.06042592592595,52.20108752915913
actor_82,817,0.25936068463877715,15.961214780600468,51.87213692775543
actor_139,511,0.2593571292128246,13.698486988847591,51.871425842564925
actor_18,611,0.2568249902437906,12.424832807570988,51.36499804875812
actor_56,722,0.2557827369190362,16.14728753180664,51.156547383807236
actor_221,892,0.2548970826894843,18.180967213114766,50.97941653789686
actor_210,354,0.2543076933861388,29.955920573436853,50.861538677227756
actor_295,502,0.25226762207805936,35.16732762836184,50.453524415611874
actor_42,578,0.2517301038062284,9.420556701030923,50.34602076124568
actor_6,542,0.2515383451539492,26.674416666666673,50.30766903078984
actor_100,2,0.25,15.521999999999998,50.0
actor_104,2,0.25,13.856,50.0
actor_106,2,0.24833159849856454,16.467,49.66631969971291
actor_230,900,0.24806517283840815,20.198779026217256,49.61303456768163
actor_67,598,0.24749163879598662,10.13462837837838,49.49832775919732
actor_12,500,0.24333787451634822,36.66744902912622,48.667574903269646
actor_193,737,0.23841334861896715,24.982102083333327,47.68266972379343
actor_146,774,0.23685556817263717,18.38829484029483,47.37111363452743
actor_63,708,0.23370228470578405,15.203838068181808,46.74045694115681
actor_36,648,0.23345012356209005,10.786795379537963,46.69002471241801
actor_157,594,0.2331338207508926,28.749127320954926,46.626764150178516
actor_125,576,0.2323370614613284,14.442909090909101,46.46741229226568
actor_279,455,0.2317535364399651,35.24159939759037,46.35070728799302
actor_46,678,0.2316887982530154,17.42567346938776,46.337759650603076
actor_3,634,0.2313579985231206,12.45535593220338,46.27159970462412
actor_103,1,0.229230583916773,35.431,45.8461167833546
actor_22,466,0.22903519827914448,23.627112403100806,45.807039655828895
actor_45,401,0.2286347296873107,39.939214511040966,45.72694593746214
actor_61,681,0.22834067547723935,9.596247588424434,45.66813509544787
actor_0,720,0.22736765858084362,16.50191343283581,45.47353171616872
actor_41,662,0.22658610271903323,9.93751666666667,45.31722054380665
actor_72,667,0.22488755622188905,10.738496666666666,44.97751124437781
actor_177,313,0.22382167244929715,30.558325966850838,44.76433448985943
actor_75,653,0.22358346094946402,10.271801369863011,44.716692189892804
actor_126,665,0.2232681926386037,19.67051685393258,44.65363852772074
actor_172,712,0.22267331586930308,15.279892215568841,44.534663173860615
actor_21,783,0.2225595467194631,26.56176824034334,44.51190934389262
actor_167,307,0.22202770018822224,45.15616544117647,44.40554003764445
actor_235,732,0.22160062477509893,26.973302961275625,44.320124955019786
actor_140,630,0.21931784830164636,25.65311827956993,43.86356966032927
actor_37,611,0.21814174215414983,17.127532646048103,43.628348430829966
actor_76,448,0.21754331820627254,46.78858415841588,43.50866364125451
actor_296,900,0.2175219646330914,17.151855855855874,43.50439292661828
actor_71,590,0.2161262347021161,12.460755813953467,43.22524694042322
actor_186,571,0.21586203975600332,36.06985060240959,43.17240795120066
actor_212,331,0.21524238789932587,45.01070832600028,43.04847757986517
actor_265,900,0.21510289700217813,21.91608805031446,43.02057940043563
actor_148,655,0.2139926336535576,17.34014900662253,42.79852673071152
actor_153,633,0.21298942860557535,18.260422145328704,42.59788572111507
actor_196,413,0.21145356867755033,33.927594696969706,42.29071373551007
actor_51,530,0.21062038197496702,19.723156626506036,42.1240763949934
actor_225,900,0.2105116508533973,17.71425934579441,42.10233017067946
actor_209,423,0.20991293275005554,50.50040490452836,41.982586550011106
actor_286,402,0.20987490920126342,42.31982758620695,41.97498184025268
actor_185,621,0.2082346761030371,30.033605459057085,41.64693522060742
actor_81,649,0.20799327294142783,15.938727272727277,41.59865458828557
actor_184,469,0.20767112647484123,24.812169421487614,41.534225294968245
actor_147,644,0.2064149059053383,13.330830827067674,41.282981181067655
actor_173,338,0.20553419674817994,37.95278260869562,41.10683934963599
actor_282,814,0.205161675486262,26.992012578616396,41.0323350972524
actor_248,900,0.2049423990618785,17.916121779859473,40.9884798123757
actor_116,668,0.20351987477555705,13.47745255474453,40.70397495511141
actor_79,655,0.20320103596506472,18.936623728813558,40.64020719301295
actor_109,297,0.20017297956001393,44.63686345381528,40.034595912002786
actor_280,528,0.19899409769900675,26.51881040892189,39.79881953980135
actor_145,655,0.19867741849707507,24.45923219814241,39.73548369941501
actor_137,397,0.19716813432958336,43.310709897611,39.43362686591667
actor_191,388,0.19495542264052157,39.87224372759855,38.99108452810432
actor_107,577,0.1935763514361778,25.189715827338123,38.71527028723556
actor_226,846,0.19313042117161502,18.904882352941183,38.626084234323
actor_90,523,0.19290575052902734,22.33366115702478,38.58115010580547
actor_154,635,0.1910979793553601,16.44033211678832,38.21959587107202
actor_95,548,0.19066300520808685,23.034694656488604,38.13260104161737
actor_261,433,0.18995169498470751,30.581861111111074,37.9903389969415
actor_86,390,0.18893246772223307,41.04287671232885,37.786493544446614
actor_33,466,0.18850118667621857,47.289066298342554,37.70023733524371
actor_30,374,0.18773984885188846,47.191379537953736,37.54796977037769
actor_232,568,0.18739264090335167,37.662394106062386,37.47852818067033
actor_187,627,0.18686397116149095,22.47822539682541,37.37279423229819
actor_183,597,0.18581857866796214,17.146249011857716,37.163715733592426
actor_229,695,0.18409971755040444,27.599056980056954,36.81994351008089
actor_176,487,0.18354723730706432,49.660476076555,36.709447461412864
actor_14,433,0.1814772254651705,49.24948328267475,36.295445093034104
actor_205,505,0.1810353109956408,45.48401202713506,36.20706219912816
actor_149,338,0.1808296662319882,43.93474693877551,36.16593324639764
actor_218,799,0.17885680945759708,17.289884868421044,35.77136189151942
actor_138,361,0.17663694850521483,40.309373913043444,35.32738970104297
actor_78,721,0.17578987018503073,34.63317061611376,35.15797403700615
actor_168,356,0.17555879603914218,44.167807843137204,35.111759207828435
actor_141,342,0.17391620183933684,52.23632765957458,34.78324036786737
actor_16,412,0.17181749218226783,40.19955555555549,34.36349843645357
actor_234,361,0.17134020824224622,43.62761971830994,34.26804164844924
actor_269,829,0.1704228570012202,17.457266447368426,34.08457140024404
actor_250,535,0.16950009889507409,23.298568464730288,33.90001977901482
actor_227,857,0.16796074811357115,30.883443207126888,33.59214962271423
actor_190,429,0.16717635498466696,37.14689361702128,33.43527099693339
actor_203,635,0.1643946991863449,33.6209844632967,32.87893983726898
actor_174,428,0.164247446684572,37.62307024793391,32.8494893369144
actor_198,607,0.16412194401517108,24.44579770992365,32.82438880303422
actor_59,460,0.16222719447096007,50.192187500000045,32.445438894192016
actor_263,442,0.1613311323894924,38.56735686274504,32.26622647789848
actor_119,511,0.15968849136949634,30.393232931726896,31.93769827389927
actor_143,406,0.1590307552682203,51.350790378006906,31.80615105364406
actor_267,728,0.15884824527447108,54.35195415959253,31.769649054894217
actor_34,605,0.15662931215924922,31.661761904761946,31.325862431849842
actor_215,725,0.1559029462380547,17.813891891891906,31.18058924761094
actor_15,522,0.15517936094264095,22.85859390862945,31.03587218852819
actor_258,737,0.15511259535824368,23.555836956521745,31.022519071648734
actor_24,472,0.15468095642037843,24.14327173913046,30.936191284075687
actor_120,332,0.15407028654504729,43.51950230414745,30.814057309009456
actor_117,533,0.1528936366137572,24.450639999999943,30.57872732275144
actor_247,537,0.15076664864582398,36.50226209677416,30.153329729164795
actor_195,396,0.1488191863333411,53.74946853146855,29.76383726666822
actor_256,900,0.14556109257708358,19.35274919614152,29.112218515416714
actor_132,520,0.145534803327863,37.762937062937034,29.1069606655726
actor_85,320,0.14474566485530987,58.30842310258712,28.949132971061974
actor_253,900,0.14438041378506108,21.31397647058825,28.876082757012217
actor_259,461,0.14383887183180627,45.5368754716981,28.767774366361255
actor_257,854,0.14362443289259305,21.876014084507037,28.72488657851861
actor_105,1,0.1427285814127579,56.839,28.54571628255158
actor_124,388,0.14248784114202814,50.33590534979414,28.49756822840563
actor_216,793,0.14138806273171367,25.052160409556336,28.277612546342734
actor_208,554,0.14122324445949389,47.04577961127628,28.244648891898777
actor_264,374,0.14110011590035637,49.30202325581396,28.220023180071273
actor_179,327,0.13797010178627223,54.07102575107296,27.594020357254443
actor_73,433,0.13731986753453743,51.17240077821017,27.463973506907486
actor_206,432,0.1369394695580828,76.03873372719838,27.387893911616562
actor_48,366,0.136896094361706,55.16520408163273,27.379218872341198
actor_239,899,0.13630293559710308,36.20196062992125,27.260587119420617
actor_228,348,0.13462875232608498,60.41713419913434,26.925750465216996
actor_236,734,0.13227315444122514,31.132767123287714,26.454630888245028
actor_181,634,0.1313704616828412,28.20347844827585,26.274092336568238
actor_285,356,0.12922331468729217,54.597942857142804,25.844662937458434
actor_274,861,0.12725255964215682,22.359851562499994,25.450511928431364
actor_169,474,0.1271643851863035,50.621523809523815,25.4328770372607
actor_200,559,0.12436416460638626,33.06102739726028,24.87283292127725
actor_240,762,0.12218809798622947,39.222136075949436,24.437619597245895
actor_291,900,0.12172149218802845,15.981662280701757,24.34429843760569
actor_222,755,0.12005410901049522,30.421318791946334,24.010821802099045
actor_66,525,0.11920475868742299,42.387421940928235,23.8409517374846
actor_270,900,0.1187134968243412,48.78070952380956,23.74269936486824
actor_112,518,0.11450391824654743,39.91363839285717,22.900783649309485
actor_223,852,0.11031110510954109,37.56550464396283,22.06222102190822
actor_252,741,0.11027354351978269,31.33323720930235,22.05470870395654
actor_89,554,0.10938663032607192,37.22563033175354,21.877326065214383
actor_87,508,0.10925738333296169,38.07784375000003,21.851476666592337
actor_245,627,0.10635725263075538,53.92676608187109,21.271450526151074
actor_180,450,0.10504909838048465,44.26810900473939,21.00981967609693
actor_298,887,0.10487703884015089,32.195916107382544,20.975407768030177
actor_129,544,0.10441952335246978,37.834666666666706,20.883904670493955
actor_268,833,0.10421200358213865,20.152383177570098,20.84240071642773
actor_278,348,0.10294022592657696,63.2312882882883,20.588045185315394
actor_204,471,0.10127025712018424,70.15772587060928,20.25405142403685
actor_244,408,0.10118025617349286,62.13265254237271,20.23605123469857
actor_98,481,0.10106861082955551,45.112665000000014,20.2137221659111
actor_272,876,0.09923671651543801,62.63054016064264,19.8473433030876
actor_62,429,0.09871322978869329,45.27490810810817,19.74264595773866
actor_294,803,0.09854419058815829,23.67000487804876,19.708838117631657
actor_188,526,0.09736856849073437,44.470136363636335,19.473713698146874
actor_211,314,0.09729148771886238,30.999920817254818,19.458297543772478
actor_29,304,0.09490742052898131,23.20912857142858,18.981484105796262
actor_292,534,0.09340069078559168,55.72939245283015,18.680138157118336
actor_242,900,0.09306941663307824,38.073516025640984,18.61388332661565
actor_165,508,0.09270436892308372,70.12703300330027,18.540873784616743
actor_197,535,0.09177096000433582,64.01741914191412,18.354192000867165
actor_262,825,0.09132878847043936,31.123612244897927,18.265757694087874
actor_111,479,0.08974477950966171,66.77383673469389,17.948955901932344
actor_277,542,0.08794914602107246,61.88981553398056,17.589829204214492
actor_217,900,0.0836915265422377,45.695430267062264,16.73830530844754
actor_288,678,0.08288186622134362,59.7572417218543,16.576373244268723
actor_289,503,0.0808030157196883,48.465815950920195,16.16060314393766
actor_2,493,0.07969725357753238,63.22360087719297,15.939450715506476
actor_293,782,0.07914725126911733,53.511003236245934,15.829450253823465
actor_224,707,0.0756546197395768,53.52743278688526,15.13092394791536
actor_266,900,0.07550871469532117,44.683090551181074,15.101742939064234
actor_276,864,0.07083288831134428,48.35205691056914,14.166577662268857
actor_214,900,0.06832809015608904,34.3839809523809,13.665618031217807
actor_58,469,0.06825293534314153,69.41134554973831,13.650587068628306
actor_290,820,0.06275497181641543,37.73436315789471,12.550994363283085
actor_271,742,0.06033624839773143,51.20647345132739,12.067249679546286
actor_255,455,0.05792382278341938,68.90912804878056,11.584764556683876
actor_284,785,0.0567077912250782,58.15206153846133,11.34155824501564
actor_281,900,0.05621481162741959,41.58397169811314,11.24296232548392
actor_283,900,0.05488976951513684,49.09717596566526,10.977953903027368
actor_241,501,0.053994656843380985,73.98050000000012,10.798931368676197
actor_243,791,0.052880364281100795,39.28858278145691,10.57607285622016
actor_207,503,0.05049112534822414,77.31689377475429,10.098225069644828
actor_231,873,0.04943395549184255,42.85755999645073,9.88679109836851
actor_260,610,0.04929470519623153,74.27170892018773,9.858941039246307
actor_49,529,0.04911749073982067,74.9753314917128,9.823498147964134
actor_219,824,0.04886551406092638,58.72983898305083,9.773102812185277
actor_254,654,0.04773375597513186,60.47122674418565,9.546751195026372
actor_118,704,0.04514224744324535,60.481234972677626,9.02844948864907
actor_237,900,0.035746204377817226,40.890539062500025,7.149240875563445
actor_192,494,0.03545570915854107,70.62929508196743,7.091141831708214
actor_275,858,0.033713858869015664,75.87281192660554,6.742771773803133
actor_246,755,0.0026490066225165563,81.57350000000022,0.5298013245033113
actor_99,1,0.0,,0.0
